dispute_id,reason_code,network,ground_truth_winnable,agent_recommendation,agent_triage_correct,agent_latency_ms,agent_used_fallback,agent_claims_stripped,agent_claims_total,agent_letter_score,agent_error,baseline_recommendation,baseline_triage_correct,baseline_latency_ms,baseline_letter_score
disp_2000,13.1,visa,True,fight,True,23589,False,0,8,5.5,,fight,True,0,2.5
disp_2001,10.4,visa,False,review,True,5272,False,0,7,,,fight,False,0,
disp_2002,10.4,visa,False,review,True,4832,False,0,6,,,fight,False,0,
disp_2003,4855,mastercard,False,review,True,7339,True,0,8,,,fight,False,0,
disp_2004,13.1,visa,True,fight,True,4426,False,0,7,,,fight,True,0,
disp_2005,4855,mastercard,False,review,True,16053,False,0,6,6.0,,fight,False,0,1.75
disp_2006,4855,mastercard,False,review,True,4525,True,0,7,,,fight,False,0,
disp_2007,10.4,visa,False,accept,True,1010,False,0,0,,,fight,False,0,
disp_2008,4855,mastercard,False,review,True,3919,False,0,7,,,fight,False,0,
disp_2009,10.4,visa,False,review,True,9044,False,0,8,,,fight,False,0,
disp_2010,4855,mastercard,False,review,True,18283,False,0,7,6.25,,fight,False,0,2.25
disp_2011,10.4,visa,False,review,True,5780,False,0,8,,,fight,False,0,
disp_2012,10.4,visa,False,review,True,4269,False,0,10,,,fight,False,0,
disp_2013,10.4,visa,False,review,True,5032,False,0,8,,,fight,False,0,
disp_2014,13.1,visa,True,fight,True,5220,False,0,6,,,fight,True,0,
disp_2015,4855,mastercard,False,review,True,9817,True,0,5,9.5,,fight,False,0,2.0
disp_2016,4855,mastercard,False,accept,True,1321,False,0,0,,,fight,False,0,
disp_2017,13.1,visa,True,fight,True,3610,False,0,6,,,fight,True,0,
disp_2018,13.1,visa,False,review,True,3515,True,0,6,,,fight,False,0,
disp_2019,13.1,visa,False,review,True,5701,True,6,7,,,fight,False,0,
disp_2020,4855,mastercard,False,review,True,6664,False,0,6,5.5,,fight,False,0,1.75
disp_2021,10.4,visa,False,review,True,4863,False,0,7,,,fight,False,1,
disp_2022,10.4,visa,False,review,True,6208,False,0,9,,,fight,False,0,
disp_2023,10.4,visa,False,review,True,3665,False,0,7,,,fight,False,0,
disp_2024,4855,mastercard,True,fight,True,3617,False,0,8,,,fight,True,0,
disp_2025,13.1,visa,False,accept,True,935,False,0,0,,,fight,False,0,1.25
disp_2026,4855,mastercard,False,accept,True,993,False,0,0,,,fight,False,0,
disp_2027,4855,mastercard,False,review,True,3487,False,0,6,,,fight,False,0,
disp_2028,10.4,visa,False,review,True,6197,False,0,7,,,fight,False,0,
disp_2029,4855,mastercard,False,review,True,9968,False,0,8,,,fight,False,0,
disp_2030,10.4,visa,False,review,True,12270,False,0,7,7.0,,fight,False,0,1.5
disp_2031,10.4,visa,False,review,True,4732,False,0,7,,,fight,False,0,
disp_2032,13.1,visa,True,fight,True,3955,True,0,6,,,fight,True,0,
disp_2033,10.4,visa,False,review,True,7183,False,0,9,,,fight,False,0,
disp_2034,4855,mastercard,False,review,True,18500,True,0,7,,,fight,False,0,
disp_2035,10.4,visa,False,review,True,19308,False,0,10,4.25,,fight,False,0,1.75
disp_2036,10.4,visa,True,fight,True,4945,False,0,8,,,fight,True,0,
disp_2037,13.1,visa,False,review,True,4197,False,0,7,,,fight,False,0,
disp_2038,13.1,visa,True,fight,True,3868,False,0,6,,,fight,True,0,
disp_2039,4855,mastercard,False,review,True,4160,False,0,8,,,fight,False,0,
disp_2040,13.1,visa,False,review,True,14168,True,0,7,5.25,,fight,False,0,0.0
disp_2041,13.1,visa,False,review,True,4553,True,0,8,,,fight,False,0,
disp_2042,4855,mastercard,False,accept,True,1055,False,0,0,,,fight,False,0,
disp_2043,10.4,visa,False,review,True,6644,False,0,9,,,fight,False,0,
disp_2044,10.4,visa,False,review,True,4201,False,0,10,,,fight,False,0,
disp_2045,10.4,visa,False,review,True,8591,False,0,9,0.0,,fight,False,0,0.0
disp_2046,10.4,visa,False,review,True,6320,False,0,9,,,fight,False,0,
disp_2047,13.1,visa,False,review,True,5442,False,0,7,,,fight,False,0,
disp_2048,13.1,visa,True,fight,True,16113,False,0,8,,,fight,True,0,
disp_2049,4855,mastercard,False,review,True,14645,True,0,7,,,fight,False,0,
